CarAge,Mileage,Brand,FuelType,Transmission,OwnerCount,EngineSize,Horsepower,CarCondition,ResalePrice
30,,Honda,Diesel,Automatic,,5.0,140.63317108880005,Fair,
15,70539.72526639464,Honda,Electric,Manual,3.0,1.8587757492199024,116.78192330846497,Poor,37380.232721347056
11,72118.00848714617,Honda,Electric,Automatic,4.0,2.464408509396564,150.06491459525057,Fair,58279.184367378664
8,38721.05023883514,Ford,Hybrid,Manual,2.0,1.6663937033115777,140.57756756183795,Fair,52420.515612852934
7,33675.6551091607,Kia,Petrol,Automatic,3.0,2.7993215714210207,157.02020757117583,Poor,54195.80471981524
19,51562.86125939295,Mercedes,Petrol,Automatic,4.0,2.423885871782776,196.9074899133804,Fair,57287.511089343745
11,67232.72248995888,Mercedes,Hybrid,Manual,4.0,1.4564475062653992,134.9177259042865,Good,43357.110348862465
11,52781.207973068354,Ford,Diesel,Automatic,2.0,1.0225543277005715,153.46104365369374,Poor,54773.99905214905
4,18460.070356180055,Audi,Hybrid,Automatic,2.0,2.0943498811650536,137.07676966939502,Fair,64204.44385267154
8,33943.51112098315,Nissan,Diesel,Automatic,4.0,2.2485638286781033,190.4020733551267,Excellent,64674.37628521354
3,48520.54272811244,Nissan,Hybrid,Automatic,4.0,2.3813609966906224,156.27585771847967,Good,63337.649660175564
2,48486.687913483394,Honda,Petrol,Manual,1.0,1.6111093942707093,170.78098626671868,Excellent,56571.21889271299
12,89450.84353579616,Nissan,Petrol,Automatic,4.0,1.6781155669815566,180.4009221950385,Excellent,45123.35519605664
6,22280.24115202004,Audi,Diesel,Manual,4.0,1.0550661189789245,72.2254263054517,Good,34587.322015515725
2,60111.78483671749,Toyota,Petrol,Manual,1.0,1.7239399742073942,181.4766306198382,Poor,57960.55501857781
1,,Ford,Petrol,Manual,1.0,1.1844139348922724,165.2195691162326,Fair,
12,95428.99490845592,Toyota,Petrol,Manual,4.0,1.6437090853526763,123.0212624256636,Excellent,32860.61431757606
12,41912.051536320774,Kia,Petrol,Automatic,1.0,2.16407519535223,201.53589427062332,Excellent,59767.2080519504
17,59828.589054403994,Nissan,Electric,Automatic,3.0,2.1568730859965783,189.4827530047629,Excellent,54351.41627733022
10,61395.20714397294,Honda,Hybrid,Manual,2.0,1.6629895885884418,142.4035736792488,Poor,46205.30676078737
16,53909.63463106582,Ford,Hybrid,Automatic,3.0,2.1360417918696464,67.2060710659156,Excellent,31828.223097635742
15,48023.09597521388,Honda,Electric,Automatic,2.0,2.7390163775574625,147.704791623359,Excellent,64195.69282968262
15,58719.50779000092,Nissan,Petrol,Manual,2.0,1.8609068096583266,110.05480736011174,Excellent,37497.11603870733
19,-644.9217043937097,BMW,Hybrid,Manual,4.0,1.3604917456941994,62.18945663879998,Good,33956.826537766305
12,63641.389801252626,Nissan,Hybrid,Manual,2.0,2.392803120330637,173.26392580822764,Good,55013.15835820761
3,52523.55807323934,Ford,Hybrid,Automatic,,2.5460101077177546,211.0785672365649,Excellent,81960.79960546651
5,45550.502064434695,Mercedes,Diesel,Manual,4.0,1.6517746663609831,146.24008594547814,Poor,56020.24206026168
19,90937.24391439115,Ford,Electric,Manual,1.0,1.6554789378330876,160.36907524161586,Poor,40888.319482158025
7,36501.31962418895,Hyundai,Diesel,Automatic,3.0,1.008367204946629,203.71032941121246,Fair,65160.44977931671
9,41938.480218699384,Nissan,Diesel,Automatic,4.0,1.769578660525058,157.11457056085953,Good,55871.78828783564
7,,Hyundai,Electric,Automatic,2.0,1.5386378459376862,125.63528198569651,Poor,
