Size,Bedrooms,Bathrooms,Neighborhood,YearBuilt,HasGarage,LuxuryRating,ProximityToCityCenter,Condition,Price
10000.0,,,Commercial,1973,,Medium,30.0,5.48851533495086,1488980.0686547682
1930.8678494144076,4.0,3.0,Industrial,1928,0.0,Medium,1.8026017487029797,7.003752768546109,638342.7970669384
2323.844269050346,5.0,1.0,Commercial,2009,0.0,Medium,7.5733102810956945,3.090807648601463,585864.1514137293
2761.514928204013,4.0,2.0,Industrial,1962,1.0,Low,2.761676331387105,5.35558254354233,714818.8226001905
1882.923312638332,3.0,2.0,Suburb,2001,0.0,Medium,5.53744278874386,3.7219595566748827,563705.7654902113
1882.9315215254096,5.0,2.0,Rural,1983,1.0,Low,4.337815377752165,3.451325421129689,623286.0523376799
2789.6064077536957,4.0,1.0,Rural,2017,0.0,Low,4.523122527536617,8.503946780929851,730417.9345932589
2383.717364576454,3.0,2.0,Downtown,1925,1.0,Medium,6.355084813116612,4.821221276121034,620851.7389057683
1765.262807032524,4.0,2.0,Industrial,1995,0.0,Low,3.439365478455069,2.8761536667263106,572333.2043322658
2271.2800217929826,4.0,3.0,Commercial,2002,0.0,High,5.913159642272573,4.776933353239293,695818.7530181501
1768.291153593769,,3.0,Suburb,2001,0.0,High,5.932243238499726,2.5810310290207044,606044.0953475118
1767.1351232148716,3.0,3.0,Suburb,1958,0.0,Medium,3.4488104750210438,4.565122567073291,609713.6486995204
2120.981135783017,1.0,1.0,Suburb,1948,0.0,High,6.822325755759292,3.6430323580442674,498378.74602264154
1043.359877671101,2.0,2.0,Rural,1952,1.0,High,7.734859148522259,6.021888182450951,378194.8229601421
1137.5410837434836,5.0,2.0,Commercial,1987,0.0,Low,9.049448841632017,8.874153473964313,440005.2528303522
1718.8562353795137,3.0,,Suburb,1930,0.0,High,4.475934906027369,4.650148675420688,525266.7690531404
1493.5844398327881,4.0,3.0,Suburb,2003,0.0,Low,5.382245719503208,3.7181721032116117,551548.1973696625
2157.123666297637,3.0,2.0,Downtown,1911,1.0,Medium,5.504377316584867,5.182008791085502,568139.2226300904
1545.9879622393946,2.0,2.0,Industrial,1957,1.0,Medium,6.331542121674952,7.982595275183005,467584.19393055735
1293.8481493323543,2.0,2.0,Industrial,2020,1.0,Medium,8.497079490225287,6.032662130198936,415474.28320851625
2732.824384460777,,2.0,Industrial,1935,,Low,5.973655256222203,4.717903107631776,704174.9131510836
1887.1118497567322,1.0,2.0,Downtown,1909,1.0,Low,6.028119361745839,0.8672114865522316,466304.8467896126
2033.764102343962,2.0,1.0,Rural,1905,1.0,Medium,2.810659447891692,4.895348104502608,550906.328645198
1287.6259068932716,5.0,2.0,Downtown,1906,0.0,Medium,9.097287638333897,6.553097093857332,450551.30708855647
1727.8086377374086,5.0,1.0,Suburb,2016,0.0,Medium,4.049314914922239,6.915044256825116,536158.4709746283
2055.461294854933,4.0,2.0,Commercial,1930,0.0,Medium,-0.3192481758855932,7.621683561066025,654626.5053681334
1424.5032112888484,1.0,1.0,Suburb,1990,1.0,Low,0.4486063381442902,3.6510125880038924,463566.8018096878
2187.849009172836,4.0,2.0,Suburb,1971,0.0,Low,5.650153486370538,4.193904852392663,654220.275703401
1699.6806550405975,1.0,2.0,Commercial,1902,0.0,Medium,2.4537726760431333,4.759583693183407,500229.4248248074
1854.1531251033616,2.0,2.0,Industrial,2003,1.0,Medium,5.107570251766541,6.419254284073714,526577.40675885
1699.1466938853016,,,Downtown,1946,0.0,Low,2.0105057547608123,4.473734586644584,550327.8805488354
2926.139092254469,5.0,3.0,Rural,1984,0.0,Medium,5.610082495567399,6.049663489428695,785869.8134075827
1993.2513876310331,2.0,2.0,Suburb,1900,0.0,Medium,6.1285504212980655,4.231262650743414,467266.0354637466
1471.1445355220499,4.0,1.0,Suburb,1944,1.0,Low,5.351673033088948,3.58831738091661,475169.24087645754
2411.2724560515944,4.0,3.0,Rural,1953,1.0,Medium,3.607332110608058,7.2194569508690725,726948.7419719446
1389.5781750144888,3.0,3.0,Downtown,1949,0.0,Medium,6.757124195346629,5.624721745250106,451694.0851276087
2104.431797502378,1.0,2.0,Suburb,1978,0.0,Medium,4.201273017365488,6.493286155033315,548149.5700209613
1020.1649380601123,4.0,1.0,Rural,1906,1.0,High,4.623287547048198,4.587413408020265,421617.75694324926
1335.9069755507849,2.0,1.0,Suburb,1962,1.0,Low,3.9806070622082284,6.608253946907819,451107.7584695669
2098.4306179345617,4.0,3.0,Industrial,1914,1.0,Medium,4.4641676372945245,2.874659818326227,653856.6221537058
2369.2332899977055,,1.0,Industrial,1988,,Medium,8.742497836661173,3.1931378110813022,580195.1460555991
2085.6841405949854,1.0,2.0,Suburb,1966,0.0,Medium,4.990097453076168,6.884210940738122,529632.6396854991
1942.1758588058797,3.0,2.0,Suburb,1929,1.0,Medium,2.46074647607549,4.859519898043829,559452.9522981904
1849.4481522053557,1.0,2.0,Industrial,1977,0.0,Medium,3.0814996057974495,4.506901090139458,518701.86483339587
1260.7390048162863,5.0,2.0,Suburb,2015,1.0,Medium,4.44763242647768,3.1609316310244084,528281.0118987035
1640.0778958026458,5.0,,Downtown,1967,0.0,Low,3.410719451219451,6.608941165958253,616763.3392978299
1769.6806145201062,5.0,3.0,Downtown,1935,1.0,Medium,6.899318717224878,8.730798403385432,576405.0462996847
2528.561113109458,5.0,2.0,Commercial,1966,1.0,Medium,2.166117049481198,6.215241097117241,780998.9775304296
2171.8091447842307,2.0,2.0,Downtown,1904,1.0,High,4.761866432189765,4.101734371468866,582002.9469487949
1118.479922318633,3.0,3.0,Suburb,1924,0.0,Medium,7.021273454858859,7.773587281653019,439735.67208397685
10000.0,,3.0,Suburb,1994,0.0,Medium,3.739812252901154,5.7187868409355875,1810740.332140955
1807.4588597918419,5.0,3.0,Rural,1910,0.0,Medium,5.8781173217407465,4.134022487225371,615143.9660693629
1661.5389998470207,4.0,1.0,Downtown,1971,0.0,High,4.919336912804347,7.551364490050087,525784.0387117136
2305.8381444204338,3.0,1.0,Industrial,1989,1.0,High,4.936890000098674,4.639180289622557,600671.3961325327
2515.4997612479756,1.0,2.0,Industrial,1965,1.0,Medium,6.023786489723522,2.1146342238546882,611338.5877166049
2465.6400595580994,3.0,2.0,Commercial,1927,1.0,Medium,1.2822763919888662,4.364766173249341,671499.4750645856
1580.3912383886807,3.0,2.0,Rural,2011,0.0,Low,7.406723967116381,6.064164785331278,501218.2302248249
1845.3938120743928,3.0,1.0,Industrial,2020,1.0,Medium,1.2060253790019608,3.5646836888747533,565049.1004939121
2165.631715701782,5.0,2.0,Commercial,1959,1.0,Medium,7.271831858531976,1.2553413463313192,665960.8132161795
2487.7725635611796,5.0,2.0,Downtown,1909,1.0,Medium,5.86802443257749,7.9396512378490804,654227.3317027156
1760.412881077355,,,Rural,1949,,Low,5.946281810831856,10.987810135869331,577402.29773172
1907.1705116680914,1.0,3.0,Rural,1938,0.0,Medium,8.229129521513855,4.04905935796163,494912.24906943337
1446.8325129969858,4.0,1.0,Suburb,1936,1.0,Low,7.36690405444462,3.7403492009413357,445245.74203816085
1401.8966879596646,3.0,2.0,Downtown,1962,0.0,Medium,6.628350206703129,2.3058164805872994,469277.59789360565
2406.262911197099,1.0,1.0,Rural,1960,0.0,Low,4.410941393168933,3.3576171786163824,572151.5472723696
2678.1200142854113,1.0,3.0,Commercial,2002,1.0,Medium,4.278572560940974,1.9443305430804214,666866.9682904877
1963.994939209833,2.0,3.0,Industrial,1984,1.0,Low,6.682953038933422,2.3900523382295265,578119.4364737791
2501.766448946012,4.0,3.0,Downtown,1991,0.0,Low,5.905694494179638,5.004492214062506,696318.6156659311
2180.818012523817,3.0,3.0,Downtown,1937,0.0,Medium,5.602345885774973,1.8419382188878286,616926.1077389423
1677.4401226974378,4.0,3.0,Rural,2019,1.0,Low,4.886108370723215,2.0631467971981485,576163.5216196453
2180.697802754207,,3.0,Rural,1932,1.0,Medium,4.184386054905593,5.414041018781658,668670.1914758397
2769.0182832329847,5.0,2.0,Rural,1974,1.0,High,2.2200017008394832,3.765062654005077,783240.3674953913
1982.0869804450242,1.0,2.0,Commercial,1944,1.0,High,6.28711485404631,5.713346884103856,490703.1979365831
2782.3218279070034,3.0,1.0,Suburb,1943,1.0,Low,4.6366342779836005,4.315988816870682,661235.3787466971
690.1274479551278,5.0,2.0,Rural,1900,1.0,High,4.5066342687099405,4.628883193067907,406975.7980128198
2410.9512521876118,2.0,,Suburb,1952,1.0,Medium,1.3748817143634589,6.560212630198165,707609.0053918888
2043.5235341190855,4.0,2.0,Suburb,1946,0.0,High,5.185402736603118,3.9026191804001678,612936.6065574759
1850.4963247670662,1.0,1.0,Downtown,1932,0.0,Medium,2.273250655874141,6.419402072671901,463247.0403034105
2045.8803882677512,3.0,3.0,Industrial,1966,1.0,Low,4.130740434235448,4.160304569854024,599975.9441551259
1006.2155426995536,5.0,2.0,Industrial,1989,0.0,Medium,6.585405899308469,3.3585162725975737,443969.8600448605
1890.164056081244,,2.0,Commercial,1914,,Medium,5.126554039820263,2.8519624300318727,564512.0491735387
2178.5562857558734,1.0,1.0,Commercial,2004,1.0,Medium,4.789240511045686,1.6866520704923627,500334.41772982455
2738.947022370758,4.0,3.0,Industrial,1913,1.0,Medium,3.546766600129807,2.5191549650714964,729362.6164819066
1740.8648908631762,2.0,1.0,Industrial,1922,1.0,Medium,3.9049172071097895,1.4530162923227623,489254.44331680145
1595.7531985534063,4.0,3.0,Downtown,1953,0.0,Medium,8.170726744357427,3.010980769652644,541297.4292497988
1749.1214782077318,4.0,3.0,Downtown,2019,1.0,High,6.559471755410579,6.6420117198651,577590.218762078
2457.701058851037,4.0,2.0,Industrial,1907,1.0,High,4.075804662022598,4.9833715750640035,670292.0410505926
2164.3755548298423,1.0,1.0,Rural,1953,0.0,Medium,4.788941282536151,4.224248323340827,498364.9311651309
1735.1198981164807,1.0,1.0,Rural,1935,1.0,Medium,5.494667225667,3.617420513181857,462744.13839623105
2256.633716556678,2.0,1.0,Downtown,1983,0.0,High,5.876166563194424,4.837495394999819,518001.9129174132
2048.5387746740203,,,Suburb,1951,0.0,High,4.951367890451966,5.060417218156191,584576.6646058011
2484.3224952664445,1.0,1.0,Industrial,1905,1.0,Low,1.4592429534389493,2.7698885718776047,639165.8008638843
1648.9734530613239,2.0,3.0,Commercial,1996,1.0,Medium,4.9370414365813335,5.927116641659127,530254.5174216238
1836.1689267011159,2.0,1.0,Rural,1927,1.0,Medium,4.815019896973875,4.348733857147236,471994.46956563665
1803.9459234339213,4.0,1.0,Suburb,1949,0.0,Medium,9.114598454572691,5.59362845383013,502012.63735174073
1268.2425259339407,3.0,2.0,Rural,1937,1.0,Low,10.383506591741963,4.9359728498073,408937.2602775732
2148.060138532288,4.0,1.0,Suburb,1929,0.0,Medium,6.28432936997646,2.163191355844781,585955.0654547205
2130.5276360899447,3.0,2.0,Industrial,2009,1.0,Medium,3.645744178364253,7.601699079595222,622387.6442424152
2002.5567283212304,2.0,2.0,Industrial,2006,1.0,Medium,6.358032152087652,4.977089406556637,566647.6464329055
1882.7064333124265,1.0,3.0,Industrial,1980,1.0,Medium,1.6030148366235752,4.264605105439005,569335.1297598527
10000.0,,1.0,Downtown,1972,,Low,30.0,6.165111920276186,1485484.455710816
1789.6773386173204,2.0,1.0,Suburb,1991,0.0,High,1.7472302509909539,2.6853434618676886,513869.6064010963
1828.6427417366153,1.0,1.0,Commercial,1953,1.0,High,6.101105895830725,1.8514259386994696,450451.82163192995
1598.8613653891905,2.0,2.0,Commercial,1970,1.0,Medium,2.5786578782317973,6.11317599940545,526773.6710561091
1919.3571441669953,4.0,1.0,Industrial,1945,1.0,High,4.426020165079837,7.2931336726060785,540463.0462728677
2202.0254284072694,3.0,,Commercial,1927,1.0,Low,4.911728447663684,5.572831208921677,589981.3862182345
2943.0929506052653,2.0,3.0,Rural,1916,0.0,Medium,4.942141919270477,6.611567660449736,724648.6709010415
2087.2889064159194,1.0,1.0,Suburb,2003,0.0,Low,4.054258675993306,2.4676612709865506,551947.6533679817
2128.775195361382,4.0,2.0,Suburb,1947,1.0,Medium,5.6734320619361265,4.281451773271864,599592.6992016211
1962.7770421169164,5.0,3.0,Suburb,1943,0.0,Medium,2.491524930645208,3.6839121524931517,685785.8049041174
1040.6143923504792,,3.0,Rural,2007,1.0,Medium,8.478558885545155,7.055193571897519,432837.4356794539
1986.7430622753916,3.0,2.0,Downtown,1959,0.0,Medium,2.931870007717679,5.988134672959313,609664.5110826106
2030.1151049705131,4.0,3.0,Rural,1959,1.0,Medium,5.079395290363171,7.062312360323874,640812.3857406038
3231.621056242643,5.0,2.0,Suburb,1904,0.0,Medium,6.249926145587169,3.7642524471557675,798184.8831078855
1903.8195176094387,1.0,3.0,Suburb,1968,0.0,High,6.365432161858284,2.737042472249878,584769.6640852265
2150.7736711668063,2.0,2.0,Suburb,1977,0.0,Medium,6.55072100444117,7.6581573479780385,623404.5109489178
1982.6441151473784,3.0,3.0,Commercial,1969,0.0,Low,1.8144670120450046,5.052220705910372,635891.6250390506
1415.660981190234,5.0,1.0,Downtown,1906,0.0,Medium,3.1652160294734397,7.1297619624842765,507947.4627920457
2571.4114072575103,3.0,3.0,Rural,2018,1.0,High,5.271715699105776,4.870110183244046,704635.4319839505
2375.966516343387,4.0,3.0,Suburb,1952,0.0,Medium,5.96233281659724,9.407704194224408,694051.5822678683
2395.5159735215234,,,Industrial,1916,,Medium,7.514256616521949,7.3559929899189616,637198.8188753417
1545.3062726026305,5.0,1.0,Downtown,1958,1.0,Medium,3.971962171617756,4.679889153447197,497976.5975389208
2701.3971554680497,2.0,1.0,Industrial,1908,1.0,Medium,3.190012013011734,5.041057803530542,635896.6021225498
1299.0744686038597,2.0,1.0,Downtown,1994,1.0,Low,3.906340587778282,5.04797505235106,425037.58896640036
2293.428546900135,3.0,2.0,Suburb,1921,1.0,Medium,9.518864270197234,2.7278812224586995,559785.5234466245
3095.227812904989,1.0,2.0,Downtown,1944,1.0,Low,8.000856059469285,4.036110160600966,633738.3423158666
1504.7318374346557,3.0,3.0,Downtown,1972,1.0,Low,4.6610160583855915,3.884046221160392,536808.6970077559
1716.851135198614,4.0,3.0,Suburb,1958,1.0,Low,7.569607399742495,5.465026712772136,581722.5233937898
2049.8256825438207,2.0,3.0,Industrial,1979,1.0,Medium,3.8550303869096783,3.3697234360600805,581932.3289370126
1748.2621729419004,2.0,2.0,Industrial,1999,1.0,Medium,6.9090372238529145,4.699856251623419,504804.3801126116
1224.6682844669335,,3.0,Commercial,1997,1.0,High,2.242162580252067,4.267660376967442,534375.124456916
2034.2814874030137,1.0,3.0,Industrial,2008,0.0,Medium,5.71298058356703,5.151659065571575,596681.0779556481
1468.8481431369476,1.0,2.0,Industrial,1912,1.0,Medium,7.038939850058975,7.9362125361323965,438841.3821206623
2236.796215317591,5.0,3.0,Downtown,1982,1.0,Low,4.346733196124823,7.190872565358058,703545.0067170166
1540.2878828830985,3.0,2.0,Commercial,1911,1.0,Low,6.226831404496746,2.3790019681350882,501103.74587345717
2774.96720250877,3.0,,Suburb,1935,0.0,High,3.8768849704526316,4.896322872041247,721231.0538086207
1608.3733538318816,4.0,1.0,Suburb,1909,0.0,Medium,5.607087294005862,4.3942636108564255,508501.68440358987
1838.9692418971622,2.0,1.0,Rural,1915,1.0,Low,4.036911484277901,3.7068007449214235,522711.1329381683
2406.758608684835,1.0,2.0,Commercial,1991,0.0,Medium,6.638275628140036,9.306042777935733,572082.1957158075
1384.5678417830222,4.0,2.0,Downtown,2019,0.0,Medium,2.4712646876898283,3.9464643886318367,568881.3269015696
