date,temp,humidity,wind_speed,pressure
01/01/2013,10,84.5,0,1015.666667
02/01/2013,7.4,92,2.98,1017.8
03/01/2013,7.166666667,87,4.633333333,1018.666667
04/01/2013,8.666666667,71.33333333,1.233333333,1017.166667
05/01/2013,6,86.83333333,3.7,1016.5
06/01/2013,7,82.8,1.48,1018
07/01/2013,7,78.6,6.3,1020
08/01/2013,8.857142857,63.71428571,7.142857143,1018.714286
09/01/2013,14,51.25,12.5,1017
10/01/2013,11,62,7.4,1015.666667
11/01/2013,15.71428571,51.28571429,10.57142857,1016.142857
12/01/2013,14,74,13.22857143,1015.571429
13/01/2013,15.83333333,75.16666667,4.633333333,1013.333333
14/01/2013,12.83333333,88.16666667,0.616666667,1015.166667
15/01/2013,14.71428571,71.85714286,0.528571429,1015.857143
16/01/2013,13.83333333,86.66666667,0,1016.666667
17/01/2013,16.5,80.83333333,5.25,1015.833333
18/01/2013,13.83333333,92.16666667,8.95,1014.5
19/01/2013,12.5,76.66666667,5.883333333,1021.666667
20/01/2013,11.28571429,75.28571429,8.471428571,1020.285714
21/01/2013,11.2,77,2.22,1021
22/01/2013,9.5,79.66666667,3.083333333,1021.8
23/01/2013,14,60.16666667,4.016666667,1020.5
24/01/2013,13.83333333,60.66666667,6.166666667,1020.5
25/01/2013,12.25,67,5.55,1020.75
26/01/2013,12.66666667,64.16666667,6.8,1019.666667
27/01/2013,12.85714286,65.57142857,5.557142857,1018.142857
28/01/2013,14.83333333,56,3.7,1017.833333
29/01/2013,14.125,65.5,3.2375,1016.625
30/01/2013,14.71428571,70.42857143,1.057142857,1017.857143
31/01/2013,16.2,65.6,2.96,1018.4
01/02/2013,16,73,2.22,1016
02/02/2013,16.28571429,77.57142857,1.328571429,1017.142857
03/02/2013,18,65.57142857,1.857142857,1015.285714
04/02/2013,17.42857143,74.28571429,11.11428571,1014.571429
05/02/2013,16.625,92.375,9.725,1016.375
06/02/2013,16.66666667,71.33333333,8.633333333,1018.666667
07/02/2013,15.6,59.4,10.74,1018.6
08/02/2013,14,70.42857143,9.257142857,1017.142857
09/02/2013,15.42857143,61.28571429,9.257142857,1016.857143
10/02/2013,15.25,71.5,3.475,1017.125
11/02/2013,15.875,70.5,5.325,1016.5
12/02/2013,15.33333333,70.33333333,7.416666667,1017.5
13/02/2013,16.28571429,70.14285714,6.085714286,1016
14/02/2013,17.33333333,63.83333333,4.333333333,1014.166667
15/02/2013,19.16666667,65.33333333,10.18333333,1011.666667
16/02/2013,14.42857143,92.71428571,8.485714286,1008
17/02/2013,13.66666667,90,0,1012.666667
18/02/2013,15.6,78.4,12.22,1016.2
19/02/2013,15.85714286,82,5.814285714,1015.714286
20/02/2013,17.71428571,74.71428571,5.814285714,1017
21/02/2013,20,67.28571429,6.614285714,1015.428571
22/02/2013,20.5,65.625,10.875,1016
